지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액,날짜
KRX 필수소비재,1890.57,23.86,1.28,1867.55,1894.73,1867.55,13636779,624253057640,114046413697180,20210531
KRX 미디어&엔터테인먼트,3590.0,57.66,1.63,3534.16,3595.86,3532.58,11508550,966331662615,182323276634850,20210531
KRX 정보기술,1737.26,-2.74,-0.16,1742.49,1746.13,1718.87,43171620,2514156030670,706254676237280,20210531
KRX 유틸리티,959.51,-1.95,-0.2,961.46,966.14,956.06,4377608,116578479950,21170729794100,20210531
KRX 300 정보기술,2815.82,-2.84,-0.1,2823.07,2829.68,2785.99,36863893,2409502304410,702519990486740,20210531
KRX 300 금융,915.18,10.2,1.13,908.31,917.96,904.63,25203125,506012079880,156085373117730,20210531
KRX 300 자유소비재,1847.54,23.47,1.29,1827.95,1848.27,1823.08,33176452,1704545706620,227147175053790,20210531
KRX 300 산업재,758.94,1.38,0.18,757.9,759.27,752.69,114880849,2391757097910,216618592999250,20210531
KRX 300 헬스케어,3729.38,18.59,0.5,3715.73,3756.2,3715.73,20687784,1002605656140,191466250851930,20210531
KRX 300 커뮤니케이션서비스,2665.75,34.08,1.29,2633.74,2669.49,2631.88,15804547,1135361763500,219897826995200,20210531
KRX 300 소재,1840.28,-16.81,-0.91,1860.91,1861.64,1825.68,16550609,1193117663365,189654856272300,20210531
KRX 300 필수소비재,1876.96,24.87,1.34,1852.65,1881.55,1852.65,9008081,506029762300,104664838398500,20210531
